sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,MODIS_NPP,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,plant_diversity,climate_stability_index,sequencing_platform454Roche,sequencing_platformIllumina,sample_typerhizosphere_soil,sample_typesoil,sample_typetopsoil,primersAML1_AML2_then_AMV4_5NF_AMDGR,primersAML1_AML2_then_NS31_AM1,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,primersAMV4_5F_AMDGR,primersAMV4_5NF_AMDGR,primersGeoA2_AML2_then_NS31_AMDGR,primersGeoA2_NS4_then_NS31_AML2,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,primersNS1_NS4_then_AML1_AML2,primersNS1_NS4_then_AMV4_5NF_AMDGR,primersNS1_NS4_then_NS31_AM1,primersNS1_NS41_then_AML1_AML2,primersNS31_AM1,primersNS31_AML2,primersWANDA_AML2,area_sampled,extraction_dna_mass,amf_sampling_density,Resolve_Biome,rwr,CV_Fold_Random,Pixel_Long,Pixel_Lat,CV_Fold_Spatial
S4430,788.0,75.5499954223633,923.760314941406,208.549713134766,21.495002746582,23,337.0,2957.0,4168.0,0.237773805856705,0.744687497615814,719.5,2.84063601493835,4.875,0.0,0.0,94.2636413574219,7244.19873046875,200.0,26.1248283386231,53.933780670166,58.1777229309082,1291.0,0.495991736650467,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.6,0.67644602060318,4,0.0841157524956378,10,9.46249961853027,48.4625015258789,2
S1648,1260.0,37.516731262207,377.614898681641,248.499923706055,104.70002746582,48,746.0,3307.0,3786.0,0.990330457687378,0.0856757462024689,1343.0,0.904352128505707,-0.625,0.0,0.0,0.0,2077.00756835938,200.0,51.2353324890137,26.3958492279053,80.686408996582,888.0,0.369799613952637,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,0.5,0.13196773827076,8,0.173748312173616,4,116.279167175293,42.029167175293,7
S7018,1683.0,88.5,185.988327026367,307.5,104.404998779297,36,463.0,4491.0,8646.0,0.944238305091858,0.140164732933044,1094.0,0.651756703853607,0.0,0.0,0.0,0.0,706.799987906031,200.0,53.1442489624024,12.3978176116943,81.3273773193359,604.0,0.332606583833694,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,400.0,1.0,0.115320272743702,10,0.0008206812114291,4,107.629165649414,40.5458335876465,9
S6016,735.0,60.5,695.426818847656,212.516738891602,34.1016731262207,29,739.0,3439.0,3038.0,0.228045076131821,0.316227972507477,42.5,1.16738963127136,-0.375,0.0,0.0,114.606575012207,4693.15283203125,200.0,67.1664657592774,159.878143310547,51.4278106689453,833.0,0.521026372909546,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.25,0.118896625936031,4,0.049679872405414,1,27.2625007629395,58.2958335876465,6
S4168,1254.0,121.616828918457,3194.42333984375,176.583435058594,24.3966884613037,20,751.0,4018.0,3778.0,0.421516209840775,0.906760811805725,1941.0,5.40979671478272,2.0,0.0,0.0,8.91964435577393,10080.4013671875,200.0,42.0232200622559,156.051681518555,55.8342094421387,2003.0,0.209806859493256,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.25,1.0,2,0.0341546883026206,10,-155.329162597656,19.8208332061768,1
S2122,672.0,63.5,590.241882324219,194.5,29.0016765594482,0,1275.0,3328.0,2435.0,-0.703366756439209,-0.364689409732819,15.0,1.14494371414185,1.1875,0.0,0.0,82.6408920288086,6405.796875,129.935516357422,56.0279960632324,123.779304504395,51.2881011962891,742.000000115141,0.656038224697113,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.265,0.180691063404083,3,0.110824793007596,1,19.8041667938232,60.3375015258789,6
S3733,716.000244140625,-20.3164501190186,1868.13952636719,130.666778564453,22.0134449005127,50,1167.0,4418.0,2196.0,-0.0238887332379818,0.917993426322937,2738.5,14.7108755111694,16.75,0.0,0.0,0.001422222238034,3356.90771484375,94.6679229736328,46.4038429260254,136.255218505859,53.6552925109863,1057.0,0.440683901309967,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,5.0,0.0070715872570872,4,0.183785260580136,2,41.6875,43.4375,10
S6261,961.0,27.5331535339356,662.265319824219,208.500274658203,62.8983268737793,0,922.0,3366.0,2554.0,0.93858003616333,0.343809127807617,951.0,0.88459849357605,-1.0,0.0,0.0,139.665237426758,5804.7705078125,181.60774230957,39.747142791748,186.327377319336,54.4500617980957,729.0,0.749569833278656,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.25,0.915380001068115,5,0.0507078402023388,8,-117.970832824707,54.5791664123535,9
S1430,1747.0,255.51643371582,1336.73327636719,299.516448974609,48.698356628418,0,210.0,1214.0,4344.0,-0.196116834878922,0.554700136184692,18.0,0.157749220728874,-0.5,0.0,0.0123887620866299,93.8981323242188,10673.9130859375,56.3720817565918,41.4465484619141,91.0105743408203,72.0,1542.0,0.150340557098389,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.25,0.0587496347725391,1,0.0968948499256717,3,-87.3541641235352,20.4458332061768,3
S1126,1565.0,256.483520507813,1301.94189453125,320.5,46.9000015258789,80,265.0,2606.0,4095.0,-0.343001127243042,-0.756220936775208,155.0,1.09571480751038,0.875,0.0,0.0,38.6652450561523,8058.04736328125,200.0,64.7576675415039,20.6906776428223,54.4459991455078,1386.0,0.221979573369026,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.0,0.25,0.0784305036067963,1,0.704153276366239,4,-6.55416679382324,5.83750009536743,10
