sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NPP,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,target_marker,sequencing_platform,sample_type,primers,Resolve_Biome,ECM_diversity,Pixel_Lat,Pixel_Long,source,CV_Fold
S006891,1166.0,154.483184814453,1444.36218261719,308.483184814453,38.9933013916016,94.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2564.0,2879.0,1989.0,-0.631681978702545,-0.645393013954163,73.5,2.39527177810669,-0.375,0.0,492.208129882813,27.2305774688721,0.0,7668.2001953125,13.0,200.0,30.8376846313477,26.0235576629639,59.0597267150879,0,0,1,7,4,1.5029656424639792,35.0208320617676,135.787506103516,GlobalFungi,7
FMS9633v2,1317.0,90.9354400634766,2666.5185546875,141.935440063477,54.7933197021484,0.0,0.0,0.0,63.0,0.0,0.0,24.0,14.0,623.0,858.0,3466.0,0.59936535358429,0.778910875320435,3265.5,27.3931732177734,4.1875,0.0,0.0,152.27555847168,0.0,19165.1015625,1.0,101.297073364258,44.328483581543,174.814407348633,52.9914817810059,0,1,1,11,1,1.0986122886681098,-16.279167175293,-67.8791656494141,GlobalFungi,7
FMS25241v2,584.0,33.5167617797852,663.435791015625,182.516754150391,36.6033210754395,0.0,0.0,0.0,0.0,35.0,0.0,63.0,0.0,1293.0,-1323.0,2692.0,-0.465774476528168,0.244088590145111,284.5,1.28066658973694,3.0625,0.0,0.0,89.9580459594727,0.0,4409.2001953125,1.0,199.292938232422,52.7022666931152,163.269378662109,47.5380783081055,0,3,2,13,6,2.707183189715978,63.154167175293,15.1875,GlobalFungi,9
S000238,1135.0,105.5,959.378051757812,279.516418457031,22.4016704559326,77.0,0.0,4.0,0.0,0.0,19.0,0.0,0.0,810.0,2052.0,2044.0,-0.940542995929718,-0.0981601849198341,238.5,0.996545195579529,0.1875,0.0,0.937842667102814,57.2641792297363,0.0,6137.4765625,26.0,200.0,26.1402492523193,27.208833694458,63.8743553161621,0,0,2,4,4,1.3860443479890248,41.0625,-83.7624969482422,GlobalFungi,8
S009273,882.0,84.4835205078125,579.806701660156,229.467041015625,36.6966819763184,12.0,0.0,28.0,0.0,0.0,0.0,61.0,0.0,364.0,1943.0,3379.0,-0.210603535175323,-0.661227464675903,427.0,6.99141311645508,8.0625,0.0,0.0,164.610488891602,0.0,6848.05517578125,1.0,200.0,38.5162200927734,63.4099769592285,52.0434036254883,0,1,2,11,4,4.55450824550307,49.3208351135254,16.654167175293,GlobalFungi,9
N1679,746.0,84.4832382202148,695.87890625,200.483261108398,22.4983520507813,3.0,6.0,54.0,0.0,0.0,0.0,37.0,0.0,499.0,4456.0,3346.0,-0.176203072071075,-0.83785605430603,26.5,1.03594517707825,-0.0625,0.0,0.0,129.098663330078,0.0,7697.28564453125,18.0,200.0,63.4214515686035,79.4673767089844,50.6694107055664,0,1,2,11,4,3.7970834041518415,55.970832824707,12.2708330154419,GlobalFungi,10
FMS25138v2,591.0,28.4668006896973,725.588256835938,181.466522216797,37.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,571.0,2877.0,3440.0,-0.996005415916443,0.0234961025416851,363.0,5.9202241897583,1.3125,0.0,0.0,110.376892089844,0.0,4783.39404296875,1.0,198.883651733398,53.9360198974609,103.957969665527,47.735969543457,0,3,2,13,6,2.7402592214518418,63.3125,15.6958332061768,GlobalFungi,10
FMS26409v2,777.0,69.5,591.346435546875,202.5,27.7966766357422,0.0,0.0,7.0,0.0,31.0,0.0,62.0,0.0,326.0,602.0,4044.0,-0.694463491439819,0.494298338890076,15.5,0.460925936698914,-0.375,0.0,0.227250516414642,100.295822143555,0.0,7962.7998046875,50.0,169.423828125,63.0424270629883,148.109588623047,54.6510391235352,1,0,2,5,4,3.6500606911126936,58.2958335876465,22.2708339691162,GlobalFungi,1
S006683,1164.0,154.482620239258,1452.92578125,308.482604980469,38.6949462890625,99.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2608.0,2817.0,1781.0,0.373956918716431,-0.837834417819977,74.5,1.35402178764343,-0.375,0.0,489.457366943359,30.3928890228272,0.0,8675.2001953125,16.0,200.0,30.83078956604,26.2919807434082,59.2201042175293,0,0,1,7,4,1.7912593804441241,35.029167175293,135.787506103516,GlobalFungi,2
N1813,756.0,87.5002822875977,633.011474609375,187.516738891602,19.3016757965088,68.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,2192.0,1892.0,-0.836580038070679,-0.49405163526535,8.5,0.855520129203796,-0.375,0.0,1.20358121395111,1.72711110115051,0.0,5838.5966796875,32.0,200.0,55.9072227478027,30.9820384979248,64.1398468017578,0,1,2,11,4,4.402637763062244,55.0208320617676,12.2958335876465,GlobalFungi,3
