sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NPP,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,Resolve_Biome,ECM_diversity,Pixel_Lat,Pixel_Long,CV_Fold
G5169,1576.0,140.416421088698,2652.014404296875,207.4331929346978,74.70500946044922,59.0,0.0,0.0,0.0,0.0,22.0,0.0,19.0,548.0,2265.0,3193.0,0.3475656509399414,-0.9375172853469849,2592.0,5.226607799530029,-2.4375,0.0,0.0,71.14471435546875,0.0,7823.60986328125,1.0,200.0,35.5799446105957,43.66582107543945,60.836063385009766,10,1.9457672920630602,7.879166603088379,39.12916564941406,2
G2658,1633.0,227.6009869392951,1769.842041015625,271.61781074529466,44.27310562133789,3.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,571.0,2587.0,3074.0,-0.011354915797710419,0.814704179763794,680.0,5.939365386962891,-2.0625,0.14702914655208588,0.0,190.63519287109375,0.0,13923.1416015625,1.0,200.0,38.60951614379883,35.247283935546875,50.07128143310547,1,3.789674577254793,-9.4375,147.37916564941406,3
G2907,1302.0,219.4993253825485,2447.760498046875,299.4826057525495,71.99166107177734,3.0,0.0,3.0,59.0,0.0,0.0,30.0,5.0,357.0,2657.0,5023.0,0.8360801935195923,0.4521251618862152,449.5,8.047276496887207,-1.8125,0.0,0.0,145.72000122070312,0.0,11786.244140625,1.0,191.33160400390625,36.04242706298828,56.40205383300781,51.41561508178711,1,4.863480081238846,20.34583282470703,105.59583282470703,4
G4941,755.0,64.5,691.1416625976562,186.51676438600046,32.10331726074219,87.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,681.0,3322.0,2474.0,-0.948683500289917,-0.2661912739276886,19.0,0.8928617238998413,0.625,0.0,0.0,46.188621520996094,0.0,5770.841796875,20.0,194.16064453125,57.10930252075195,45.44412612915039,63.11555480957031,4,2.3977134512660645,58.6875,23.587499618530273,8
S315,1199.0,16.431871673892157,541.14208984375,230.43159042336572,117.00337219238281,27.0,0.0,16.0,0.0,0.0,14.0,24.0,19.0,233.0,1769.0,4850.0,0.9713618755340576,-0.07742232829332352,1154.5,7.3464860916137695,-5.625,0.0,0.0,37.2423095703125,0.0,1776.4029541015625,1.0,200.0,38.551883697509766,73.21907806396484,66.11351776123047,8,4.375618627343177,44.22083282470703,118.72916412353516,4
G3060,1888.0,260.4829302745025,6553.5,340.49971934850015,131.00669860839844,0.0,0.0,0.0,79.0,0.0,0.0,21.0,0.0,503.0,1012.0,2980.0,0.675149142742157,-0.2058989703655243,80.0,1.4489563703536987,-1.5,0.0,0.0,86.40693664550781,0.0,7769.29345703125,2.0,199.99632263183594,40.76613998413086,43.30307388305664,54.34233474731445,1,2.6389144726230054,13.445833206176758,75.02083587646484,5
S1341,733.0,73.5,680.5200805664062,222.50028057154677,28.498327255249023,0.0,0.0,0.0,0.0,28.0,0.0,72.0,0.0,1107.0,4358.0,2628.0,-0.5334401726722717,0.6846053004264832,81.0,0.3139423131942749,0.3125,0.0,0.0,173.63449096679688,0.0,5683.05224609375,45.0,200.0,72.57905578613281,123.58146667480469,49.71184158325195,4,0.0,54.77916717529297,23.60416603088379,9
S013,2045.0,204.46805526755492,1101.3038330078125,288.46805526755486,101.39834594726562,0.0,0.0,0.0,0.0,0.0,31.0,41.0,27.0,596.0,1918.0,4713.0,-0.5382065176963806,-0.06648100912570953,916.5,4.701122760772705,0.25,0.4385964870452881,0.0,30.885154724121094,0.0,4324.138671875,1.0,189.94863891601562,66.77745056152344,14.37457275390625,60.30058670043945,1,2.6389144726230054,-22.52916717529297,45.37083435058594,6
S757,1570.0,257.5167074660003,1148.668701171875,329.5164272520896,56.00165557861328,70.0,0.0,18.0,0.0,0.0,0.0,13.0,0.0,233.0,326.0,4726.0,0.7619863748550415,0.478507936000824,104.5,1.6397311687469482,3.0625,0.0,0.0,17.44284439086914,0.0,10106.9638671875,1.0,200.0,61.95326614379883,12.521698951721191,59.26319885253906,1,5.4249852397926706,-4.995833396911621,38.98749923706055,7
Darta24,731.0,63.5,739.1134033203125,210.51676390999998,28.0,42.0,0.0,25.0,0.0,0.0,0.0,33.0,0.0,474.0,2665.0,3087.0,-0.662649393081665,0.7489092350006104,116.0,1.4594863653182983,-0.125,0.0,0.0,100.0624008178711,0.0,6181.9208984375,30.0,200.0,55.5146598815918,71.83212280273438,56.867652893066406,4,0.6931471805599453,56.77083206176758,22.59583282470703,10
