sample_id,latitude,longitude,myco_diversity,est_s_e,x95_percent_lower,x95_percent_upper,raw_obs_div,sample_type,sequencing_platform,target_marker,primers,top,bot,core_length,seq_depth
S001674,58.555214,23.551006,0,0,0,0,0,root,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,,,,162
S001675,58.555214,23.551006,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,309
S001676,58.555214,23.551006,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,1154
S001677,58.555214,23.551006,0,0,0,0,0,root,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,,,,31
S001678,58.555214,23.551006,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,177
S001679,58.555214,23.551006,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,899
S001680,58.555214,23.551006,0,0,0,0,0,root,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,,,,3
S001681,58.555214,23.551006,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,247
S001683,58.555214,23.551006,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,343
S001684,58.555214,23.551006,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,913
S001685,58.555214,23.551006,0,0,0,0,0,root,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,,,,14
S001686,58.555214,23.551006,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,470
S001687,58.83333,22.76667,0,0,0,0,0,root,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,,,,10
S001688,58.83333,22.76667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,110
S001689,58.83333,22.76667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,1016
S001691,58.83333,22.76667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,319
S001692,58.83333,22.76667,0,0,0,0,0,soil,454Roche,ITS_both,ITS1ngs/ITS4ngs or ITS1Fngs/ITS4ngs,0,5,5,1655
