sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NPP,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,target_marker,sequencing_platform,sample_type,primers,Resolve_Biome,arbuscular_mycorrhizal_richness,Pixel_Lat,Pixel_Long,source,CV_Fold
N3658,821.0,37.483264054000756,708.4807739257812,214.49967855989328,21.196685791015625,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,293.0,1903.0,6347.0,-0.9576879739761353,0.201810821890831,867.5,1.2576098442077637,0.5,0.0,0.0,146.92018127441406,0.0,4482.447265625,13.0,200.0,53.163204193115234,162.41310119628906,51.97542953491211,1,2,1,23,5,2.6741486494265287,54.337501525878906,-123.27083587646484,GlobalFungi,9
GF4S02410b,787.0,74.45008114853084,921.778076171875,205.46683875853017,22.494977951049805,56.0,11.0,33.0,0.0,0.0,0.0,0.0,0.0,399.0,1657.0,3130.0,-0.8072676658630371,0.5898368954658508,751.5,2.531036376953125,1.0625,0.0,0.0,24.523378372192383,0.0,6526.1484375,1.0,200.0,25.69971466064453,46.862823486328125,59.36359786987305,1,0,1,27,4,3.18498805862417,48.37916564941406,9.470833778381348,GlobalFungi,4
GF3S04868a,830.0,106.5,811.355712890625,223.5,11.199999809265137,61.0,30.0,0.0,0.0,0.0,7.0,2.0,0.0,1112.0,4815.0,1485.0,-0.9948885440826416,0.019984794780611992,19.0,0.5480257868766785,-0.25,0.0,20.657777786254883,31.79520034790039,0.0,7009.0,50.0,200.0,54.84717559814453,16.82782554626465,60.124454498291016,1,2,1,15,4,4.297285406218791,50.50416564941406,3.5291666984558105,GlobalFungi,5
FMS24098v2,1068.0,42.48442725076362,1033.0733642578125,241.5011572007626,96.60499572753906,0.0,0.0,42.0,0.0,13.0,0.0,46.0,0.0,387.0,384.0,3209.0,0.8244858384132385,-0.3197978734970093,718.5,12.191560745239258,-10.5625,0.0,0.0,66.70222473144531,0.0,3330.95849609375,1.0,185.65916442871094,38.1727294921875,87.98092651367188,55.75350570678711,1,2,1,12,4,1.6094379124341003,41.84583282470703,124.90416717529297,GlobalFungi,6
GF4S17454b,954.9998779296875,86.9365955466989,2229.994384765625,185.10243125372526,79.29165649414062,11.0,0.0,0.0,11.0,9.0,31.0,37.0,0.0,671.0,568.0,1913.0,-0.7762182950973511,0.40916088223457336,2375.0,20.091106414794922,-30.8125,0.0,0.0,117.4839096069336,0.0,8655.724609375,2.0,160.35659790039062,46.66523361206055,138.45867919921875,58.82286071777344,1,2,1,13,5,2.9444389791664403,29.59583282470703,102.04582977294922,GlobalFungi,10
GF4S13048b,790.0,74.44980074200157,963.5509033203125,206.44980074200154,21.894977569580078,71.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,1916.0,3670.0,-0.6146913766860962,-0.7882128357887268,746.5,2.841865062713623,1.0,0.0,1.913298487663269,9.192533493041992,0.0,6558.9638671875,1.0,200.0,21.12227439880371,39.47378158569336,63.15742492675781,1,2,0,8,4,2.159522689025466,48.37916564941406,9.520833015441895,GlobalFungi,7
S001692,753.0,67.5,644.2786865234375,204.46677850144496,28.806671142578125,51.0,8.0,9.0,0.0,22.0,10.0,1.0,0.0,850.0,293.0,1795.0,-0.894427478313446,-0.3939186632633209,7.0,0.2767089903354645,0.1875,0.0,44.10432052612305,6.867199897766113,0.0,5574.42333984375,50.0,199.08909606933594,56.92375946044922,60.22391128540039,62.05529022216797,2,0,1,10,4,1.3862943611198906,58.829166412353516,22.77083396911621,GlobalFungi,8
GF4S16425b,1082.0,92.48354939064245,927.4605712890625,271.5164324893591,27.499998092651367,29.0,0.0,29.0,0.0,0.0,6.0,35.0,0.0,863.0,2925.0,2381.0,-0.7763698101043701,-0.4494379758834839,284.5,0.512831449508667,-0.375,0.0,0.11222286522388458,77.47022247314453,0.0,6358.27294921875,25.0,200.0,60.950828552246094,52.86844253540039,59.6224365234375,1,2,1,28,4,2.545531271604435,42.37916564941406,-85.37083435058594,GlobalFungi,9
FMS16BI1289v2,1917.0,161.45022894804606,532.7886352539062,289.45022894804606,45.59666061401367,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.0,4446.0,1573.0,-0.5572983622550964,-0.7939220666885376,125.0,2.9439234733581543,2.3125,0.0,0.0,21.14506721496582,0.0,4978.6376953125,1.0,199.55136108398438,72.43177032470703,17.76483917236328,68.7632064819336,2,2,1,5,12,2.656686700435666,-34.62083435058594,138.77915954589844,GlobalFungi,4
GF4S02633b,826.0,89.46678551794021,594.3200073242188,224.5,17.60167694091797,46.0,3.0,21.0,0.0,0.0,0.0,31.0,0.0,838.0,1822.0,2003.0,0.7030473947525024,-0.20226961374282837,63.0,1.367632269859314,-0.8125,0.0,0.0,107.25333404541016,0.0,6031.37109375,27.0,200.0,77.0655746459961,59.55912399291992,49.55046844482422,1,0,1,27,4,3.1570004211501135,53.11249923706055,13.620833396911621,GlobalFungi,10
