,AbsResidual,AMF_diversity,AMF_diversity_Predicted,Pixel_Long,Pixel_Lat
118,0.5514256954193115,0,0.5514256954193115,-82.2375,8.754166666666666
119,0.469520628452301,0,0.469520628452301,-82.22083333333333,8.7625
120,1.577807068824768,0,1.577807068824768,75.02083333333333,13.454166666666666
121,0.4163529872894287,3,2.5836470127105713,75.22916666666667,13.495833333333334
122,2.2545201778411865,5,2.7454798221588135,75.02083333333333,13.520833333333334
123,1.8538099527359009,0,1.8538099527359009,74.75416666666666,14.270833333333334
124,1.4989279508590698,3.25,1.7510720491409302,74.7375,14.279166666666667
125,1.0655118227005005,0,1.0655118227005005,-65.82083333333333,18.320833333333333
126,1.8156392574310303,3,1.1843607425689697,-65.72916666666667,18.320833333333333
127,1.7030117511749268,5,3.2969882488250732,98.37916666666666,18.529166666666665
